filename,location,dataset,num_annotators,time_h,time_min,time_sec,total_duration,washing_duration,movement_1,movement_2,movement_3,movement_4,movement_5,movement_6,movement_7,movement_0,ring,armband,long_nails
2020-07-16_01-12-15_camera101.mp4,Ķirurģija,DataSet1,2.0,1.0,12.0,15.0,25.0,9.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0
2020-07-16_03-42-45_camera101.mp4,Ķirurģija,DataSet1,2.0,3.0,42.0,45.0,35.7,14.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0
2020-07-16_04-38-15_camera101.mp4,Ķirurģija,DataSet1,2.0,4.0,38.0,15.0,37.9,34.5,1.3,3.4,1.1,0.0,2.4,0.0,0.0,26.3,0.0,0.0,0.0
2020-07-17_06-19-35_camera101.mp4,Ķirurģija,DataSet1,2.0,6.0,19.0,35.0,33.6,22.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0
2020-07-19_06-14-50_camera101.mp4,Ķirurģija,DataSet1,2.0,6.0,14.0,50.0,50.0,49.1,5.5,4.9,3.6,7.3,4.8,6.9,0.0,16.0,0.0,0.0,0.0
2020-07-20_07-13-40_camera101.mp4,Ķirurģija,DataSet1,2.0,7.0,13.0,40.0,50.2,39.3,2.0,5.5,3.7,4.2,7.7,4.9,0.0,11.3,0.0,0.0,0.0
2020-07-21_19-45-11_camera101.mp4,Ķirurģija,DataSet1,2.0,19.0,45.0,11.0,22.7,9.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0
2020-07-22_14-39-40_camera101.mp4,Ķirurģija,DataSet1,2.0,14.0,39.0,40.0,6.2,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0
2020-07-22_14-44-42_camera101.mp4,Ķirurģija,DataSet1,2.0,14.0,44.0,42.0,30.1,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0
2020-07-22_14-47-48_camera101.mp4,Ķirurģija,DataSet1,2.0,14.0,47.0,48.0,25.8,14.4,2.1,5.4,2.4,0.9,0.0,0.0,0.0,3.6,0.0,0.0,0.0
2020-06-26_19-53-12_camera101.mp4,32.intensīvā,DataSet10,2.0,19.0,53.0,12.0,55.6,28.7,4.4,2.4,1.4,4.4,0.0,4.0,0.0,12.2,0.0,0.0,0.0
2020-06-26_23-15-10_camera101.mp4,32.intensīvā,DataSet10,2.0,23.0,15.0,10.0,26.2,10.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0
2020-06-26_23-41-27_camera101.mp4,32.intensīvā,DataSet10,2.0,23.0,41.0,27.0,66.4,29.3,4.2,5.8,0.0,4.3,3.6,2.9,0.0,8.5,0.0,0.0,0.0
2020-06-27_01-03-39_camera101.mp4,32.intensīvā,DataSet10,2.0,1.0,3.0,39.0,58.2,34.4,2.3,5.4,2.3,0.0,0.0,1.8,0.0,22.6,0.0,0.0,0.0
2020-06-27_02-29-57_camera101.mp4,32.intensīvā,DataSet10,2.0,2.0,29.0,57.0,85.0,55.2,7.3,2.9,1.2,3.1,3.7,6.6,0.0,30.4,0.0,0.0,0.0
2020-06-27_09-28-26_camera101.mp4,32.intensīvā,DataSet10,1.0,9.0,28.0,26.0,51.1,12.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0
2020-06-27_12-21-47_camera101.mp4,32.intensīvā,DataSet10,2.0,12.0,21.0,47.0,39.8,21.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0
2020-06-27_16-11-59_camera101.mp4,32.intensīvā,DataSet10,2.0,16.0,11.0,59.0,71.6,47.3,2.1,8.1,2.8,3.2,6.8,3.5,0.0,20.7,0.0,0.0,0.0
2020-06-27_18-42-12_camera101.mp4,32.intensīvā,DataSet10,2.0,18.0,42.0,12.0,24.4,12.9,1.8,0.0,2.2,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0
2020-06-27_18-42-51_camera101.mp4,32.intensīvā,DataSet10,2.0,18.0,42.0,51.0,57.4,42.1,2.6,4.7,4.9,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0
2020-06-27_21-37-29_camera101.mp4,32.intensīvā,DataSet10,2.0,21.0,37.0,29.0,76.7,58.0,0.0,8.8,3.1,1.6,7.1,6.4,1.1,29.9,0.0,0.0,0.0
2020-06-27_22-10-55_camera101.mp4,32.intensīvā,DataSet10,2.0,22.0,10.0,55.0,84.2,49.2,0.9,2.6,1.9,0.0,1.4,1.8,0.0,40.6,0.0,0.0,0.0
2020-06-27_22-56-55_camera101.mp4,32.intensīvā,DataSet10,2.0,22.0,56.0,55.0,53.8,31.5,7.9,0.0,1.1,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0
2020-06-27_23-33-47_camera101.mp4,32.intensīvā,DataSet10,2.0,23.0,33.0,47.0,48.4,40.8,1.5,2.5,2.6,0.0,0.6,0.0,0.9,32.8,0.0,0.0,0.0
2020-06-27_23-42-46_camera101.mp4,32.intensīvā,DataSet10,2.0,23.0,42.0,46.0,64.6,45.7,3.6,0.6,0.8,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0
